Samples	SBS96A	SBS96B	SBS96C	SBS96D	SBS96E	SBS96F	SBS96G
TCGA-D8-A1XB-01	9	2	19	2	2	8	8
TCGA-D8-A1XC-01	2	0	14	6	8	4	0
TCGA-D8-A1XF-01	2	2	23	21	1	2	0
TCGA-D8-A1XG-01	2	0	1	0	6	10	8
TCGA-D8-A1XK-01	5	10	32	0	0	1086	167
TCGA-D8-A1XL-01	6	7	7	0	41	19	30
TCGA-D8-A1XM-01	17	4	13	22	0	0	8
TCGA-D8-A1XO-01	6	6	5	0	2	1	9
TCGA-D8-A1XQ-01	25	32	223	0	143	484	124
TCGA-D8-A1XR-01	4	0	12	0	4	12	0
TCGA-D8-A1XS-01	5	1	7	3	0	0	10
TCGA-D8-A1XT-01	3	2	15	14	9	2	0
TCGA-D8-A1XU-01	12	3	6	0	10	2	2
TCGA-D8-A1XV-01	1	4	12	0	0	1	18
TCGA-D8-A1XW-01	8	10	8	0	50	13	33
TCGA-D8-A1XY-01	8	1	32	3	7	3	5
TCGA-D8-A1XZ-01	0	10	46	17	10	0	13
TCGA-D8-A1Y0-01	3	11	4	17	13	9	24
TCGA-D8-A1Y1-01	20	3	166	0	0	21	23
TCGA-D8-A1Y2-01	9	4	8	0	0	1	0
TCGA-D8-A1Y3-01	3	0	39	0	18	3	4
TCGA-D8-A27E-01	1	0	2	4	4	0	0
TCGA-D8-A27F-01	1	12	0	0	21	6	30
TCGA-D8-A27G-01	592	542	0	42	0	0	0
TCGA-D8-A27H-01	12	50	7	0	70	9	12
TCGA-D8-A27I-01	5	4	8	0	0	2	17
TCGA-D8-A27K-01	0	2	10	0	2	1	6
TCGA-D8-A27L-01	14	4	8	27	0	0	0
TCGA-D8-A27M-01	1	11	9	30	35	4	0
TCGA-D8-A27N-01	3	1	26	13	4	5	8
TCGA-D8-A27P-01	3	0	11	1	7	8	0
TCGA-D8-A27R-01	3	3	5	2	12	1	9
TCGA-D8-A27T-01	6	0	17	0	4	4	0
TCGA-D8-A27V-01	64	78	2	91	0	0	0
TCGA-D8-A27W-01	2	2	36	8	0	3	4
TCGA-D8-A3Z6-01	6	2	13	0	5	8	3
TCGA-D8-A4Z1-01	27	7	5	7	0	0	0
TCGA-D8-A73U-01	119	43	11	20	6	8	0
TCGA-D8-A73W-01	3	2	28	0	13	6	0
TCGA-D8-A73X-01	7	0	15	0	0	9	21
TCGA-E2-A105-01	8	2	22	5	21	9	0
TCGA-E2-A107-01	8	0	9	4	0	5	10
TCGA-E2-A108-01	60	79	2	0	16	11	18
TCGA-E2-A109-01	1	0	22	27	23	11	0
TCGA-E2-A10A-01	7	3	5	0	9	4	0
TCGA-E2-A10B-01	20	14	9	6	4	12	8
TCGA-E2-A10C-01	282	209	0	28	0	0	0
TCGA-E2-A10F-01	4	1	13	6	0	2	4
TCGA-E2-A14N-01	9	16	8	10	44	5	17
TCGA-E2-A14O-01	2	0	17	16	0	0	1
TCGA-E2-A14P-01	21	7	29	45	0	10	0
TCGA-E2-A14Q-01	5	2	16	0	3	2	12
TCGA-E2-A14R-01	0	16	7	30	49	19	22
TCGA-E2-A14T-01	5	5	12	0	0	6	15
TCGA-E2-A14V-01	25	36	25	22	0	5	28
TCGA-E2-A14W-01	0	10	5	42	38	7	0
TCGA-E2-A14X-01	7	2	25	0	2	1	0
TCGA-E2-A14Y-01	16	15	9	0	7	3	0
TCGA-E2-A14Z-01	24	7	10	22	18	0	14
TCGA-E2-A150-01	4	4	25	14	31	13	0
TCGA-E2-A152-01	48	51	3	69	0	0	0
TCGA-E2-A153-01	7	0	13	0	0	1	5
TCGA-E2-A154-01	1	1	19	9	5	0	23
TCGA-E2-A155-01	14	5	22	0	17	8	15
TCGA-E2-A156-01	5	1	3	0	2	3	11
TCGA-E2-A158-01	0	7	9	0	50	7	24
TCGA-E2-A159-01	59	76	6	58	0	2	0
TCGA-E2-A15A-01	2	3	13	12	14	4	14
TCGA-E2-A15C-01	2	1	24	4	10	5	4
TCGA-E2-A15D-01	0	2	16	1	0	9	6
TCGA-E2-A15E-01	0	6	11	0	3	9	11
TCGA-E2-A15F-01	0	1	10	6	1	2	8
TCGA-E2-A15G-01	10	0	11	1	2	6	43
TCGA-E2-A15H-01	0	0	16	10	3	4	0
TCGA-E2-A15I-01	6	0	16	4	1	0	16
TCGA-E2-A15J-01	0	0	9	3	7	3	0
TCGA-E2-A15K-01	0	1	14	21	0	4	13
TCGA-E2-A15L-01	0	4	13	1	0	3	13
TCGA-E2-A15M-01	18	16	28	17	21	8	0
TCGA-E2-A15O-01	2	0	7	0	0	0	25
TCGA-E2-A15P-01	2	0	11	5	3	6	1
TCGA-E2-A15R-01	4	0	21	22	0	0	0
TCGA-E2-A15S-01	8	5	3	0	14	12	26
TCGA-E2-A15T-01	1	2	10	0	0	1	26
TCGA-E2-A1AZ-01	7	17	6	42	0	7	0
TCGA-E2-A1B0-01	5	3	16	23	0	13	0
TCGA-E2-A1B1-01	17	17	10	20	0	0	2
TCGA-E2-A1B4-01	7	0	5	16	3	5	6
TCGA-E2-A1B5-01	18	9	13	0	0	2	4
TCGA-E2-A1B6-01	0	3	13	0	32	3	5
TCGA-E2-A1BC-01	0	3	8	6	8	5	11
TCGA-E2-A1BD-01	0	2	21	3	3	0	14
TCGA-E2-A1IE-01	0	0	8	2	6	2	12
TCGA-E2-A1IF-01	0	0	3	0	0	6	15
TCGA-E2-A1IG-01	9	0	10	17	0	0	21
TCGA-E2-A1IH-01	16	20	6	8	0	13	22
TCGA-E2-A1II-01	0	2	12	0	16	4	0
TCGA-E2-A1IJ-01	0	0	6	0	0	0	12
TCGA-E2-A1IK-01	0	1	4	6	0	2	4
TCGA-E2-A1IL-01	0	0	9	14	6	2	0
TCGA-E2-A1IN-01	93	104	15	0	25	11	0
TCGA-E2-A1IO-01	2	0	7	0	0	0	7
TCGA-E2-A1IU-01	6	1	6	10	8	0	0
TCGA-E2-A1L6-01	3	0	5	10	4	5	1
TCGA-E2-A1L7-01	2	4	0	3	14	9	49
TCGA-E2-A1L8-01	4	3	3	0	0	6	22
TCGA-E2-A1L9-01	4	0	9	1	10	4	0
TCGA-E2-A1LA-01	2	8	11	7	60	19	0
TCGA-E2-A1LB-01	12	11	4	22	0	4	2
TCGA-E2-A1LG-01	43	104	3	69	0	0	0
TCGA-E2-A1LH-01	14	48	12	38	94	21	4
TCGA-E2-A1LI-01	6	7	2	1	15	2	4
TCGA-E2-A1LK-01	0	4	41	8	0	1	0
TCGA-E2-A1LL-01	0	7	13	0	23	8	10
TCGA-E2-A2P6-01	101	42	29	0	6	8	0
TCGA-E2-A56Z-01	2	0	14	11	1	11	21
TCGA-E2-A570-01	0	0	11	14	4	1	0
TCGA-E2-A572-01	1	2	9	0	0	3	14
TCGA-E2-A573-01	1	4	16	17	21	13	0
TCGA-E2-A574-01	34	28	27	59	6	2	0
TCGA-E2-A576-01	0	1	28	15	5	0	21
TCGA-E2-A9RU-01	11	8	42	39	0	7	0
TCGA-E9-A1N3-01	0	3	2	0	4	6	16
TCGA-E9-A1N4-01	4	6	6	8	0	0	10
TCGA-E9-A1N5-01	9	7	3	0	7	10	3
TCGA-E9-A1N8-01	3	8	1	14	0	10	0
TCGA-E9-A1N9-01	9	1	20	0	30	6	0
TCGA-E9-A1NA-01	4	13	8	52	23	4	13
TCGA-E9-A1NE-01	4	4	7	0	43	4	0
TCGA-E9-A1NF-01	21	3	7	14	0	2	14
TCGA-E9-A1NG-01	1	0	6	0	1	1	12
TCGA-E9-A1NH-01	2	1	7	0	0	6	21
TCGA-E9-A1QZ-01	0	0	2	0	2	4	15
TCGA-E9-A1R0-01	4	4	15	12	0	0	0
TCGA-E9-A1R2-01	1	15	5	0	18	12	15
TCGA-E9-A1R3-01	4	0	8	1	7	5	0
TCGA-E9-A1R4-01	50	34	8	54	0	7	0
TCGA-E9-A1R5-01	3	1	10	7	0	3	27
TCGA-E9-A1R6-01	1	0	16	15	3	1	0
TCGA-E9-A1R7-01	9	4	11	10	21	6	2
TCGA-E9-A1RA-01	5	0	6	5	3	1	5
TCGA-E9-A1RB-01	0	0	11	2	13	12	0
TCGA-E9-A1RC-01	0	0	22	17	3	9	4
TCGA-E9-A1RD-01	6	1	7	1	7	1	0
TCGA-E9-A1RE-01	3	1	31	5	4	9	13
TCGA-E9-A1RF-01	4	17	28	21	70	4	26
TCGA-E9-A1RG-01	4	5	4	1	2	5	20
TCGA-E9-A1RH-01	8	9	22	18	30	8	16
TCGA-E9-A1RI-01	6	0	6	5	1	2	9
TCGA-E9-A226-01	19	24	12	24	0	0	0
TCGA-E9-A227-01	2	1	2	8	6	0	0
TCGA-E9-A228-01	8	6	28	1	8	1	0
TCGA-E9-A229-01	2	6	12	0	8	2	0
TCGA-E9-A22A-01	5	5	6	0	11	0	9
TCGA-E9-A22B-01	11	3	21	14	4	3	20
TCGA-E9-A22D-01	3	2	20	12	0	0	3
TCGA-E9-A22E-01	10	25	9	28	44	7	21
TCGA-E9-A22G-01	1	8	2	14	50	32	10
TCGA-E9-A22H-01	2	0	16	5	1	2	0
TCGA-E9-A243-01	5	12	5	19	25	17	6
TCGA-E9-A244-01	3	5	25	0	50	14	24
TCGA-E9-A245-01	0	0	0	14	1	2	6
TCGA-E9-A247-01	0	1	33	0	7	6	0
TCGA-E9-A248-01	6	2	14	0	2	4	0
TCGA-E9-A249-01	2	0	13	0	2	4	4
TCGA-E9-A24A-01	0	0	7	8	0	0	7
TCGA-E9-A295-01	0	4	29	17	2	0	57
TCGA-E9-A2JS-01	4	0	45	12	12	0	16
TCGA-E9-A2JT-01	14	14	0	0	0	0	0
TCGA-E9-A3HO-01	2	6	0	8	28	8	20
TCGA-E9-A3QA-01	8	16	2	0	25	0	11
TCGA-E9-A3X8-01	2	6	9	3	11	0	6
TCGA-E9-A54Y-01	17	2	20	16	0	3	0
TCGA-E9-A5FK-01	2	2	9	3	6	3	14
TCGA-E9-A5FL-01	7	19	14	16	47	20	10
TCGA-E9-A5UO-01	0	2	14	1	9	3	9
TCGA-E9-A6HE-01	1	0	12	5	1	3	0
TCGA-EW-A1IW-01	50	28	22	0	26	1	0
TCGA-EW-A1IX-01	13	15	0	4	7	3	0
TCGA-EW-A1IY-01	12	1	1	22	0	2	0
TCGA-EW-A1IZ-01	12	0	214	20	2	177	10
TCGA-EW-A1J1-01	0	0	10	8	5	0	0
TCGA-EW-A1J3-01	3	0	6	8	8	5	0
TCGA-EW-A1J5-01	304	225	1	0	10	0	0
TCGA-EW-A1J6-01	2	1	8	0	7	0	26
TCGA-EW-A1OV-01	78	37	11	0	12	0	2
TCGA-EW-A1OX-01	3	4	5	0	6	2	1
TCGA-EW-A1OZ-01	8	4	30	17	13	4	0
TCGA-EW-A1P0-01	0	1	1	0	4	6	16
TCGA-EW-A1P1-01	0	0	0	0	0	0	3
TCGA-EW-A1P3-01	3	0	7	1	0	0	17
TCGA-EW-A1P4-01	0	11	8	0	14	11	33
TCGA-EW-A1P5-01	0	2	16	0	0	2	0
TCGA-EW-A1P6-01	1	0	4	0	0	1	20
TCGA-EW-A1P7-01	0	0	1	0	15	3	0
TCGA-EW-A1P8-01	1	0	8	13	12	5	0
TCGA-EW-A1PA-01	3	2	7	21	4	4	0
TCGA-EW-A1PB-01	28	60	4	25	55	0	10
TCGA-EW-A1PD-01	6	11	0	24	39	11	2
TCGA-EW-A1PE-01	8	0	10	3	11	6	0
TCGA-EW-A1PG-01	1	0	3	5	0	2	0
TCGA-EW-A1PH-01	2	3	20	29	3	5	0
TCGA-EW-A2FR-01	6	9	11	12	3	0	13
TCGA-EW-A2FS-01	0	1	13	11	0	11	9
TCGA-EW-A2FV-01	2	0	3	11	0	1	15
TCGA-EW-A2FW-01	4	0	19	0	3	0	0
TCGA-EW-A423-01	14	11	29	7	20	7	0
TCGA-EW-A6S9-01	4	1	12	5	5	2	2
TCGA-EW-A6SA-01	11	8	23	29	16	13	23
TCGA-EW-A6SB-01	0	5	20	29	9	17	1
TCGA-EW-A6SC-01	9	0	6	0	7	12	5
TCGA-EW-A6SD-01	20	17	12	0	3	12	4
TCGA-GI-A2C8-01	7	18	23	0	64	12	24
TCGA-GM-A2D9-01	325	222	3	95	0	0	0
TCGA-GM-A2DA-01	4	7	12	0	0	0	22
TCGA-GM-A2DB-01	4	9	15	15	15	6	64
TCGA-GM-A2DC-01	0	0	17	0	0	0	10
TCGA-GM-A2DD-01	4	4	12	2	22	14	10
TCGA-GM-A2DF-01	2	5	19	11	13	3	0
TCGA-GM-A2DH-01	33	76	10	25	60	7	21
TCGA-GM-A2DI-01	35	31	4	17	0	0	4
TCGA-GM-A2DK-01	6	0	8	5	0	9	9
TCGA-GM-A2DL-01	7	4	8	20	0	0	10
TCGA-GM-A2DM-01	5	0	0	6	0	8	8
TCGA-GM-A2DN-01	3	0	5	5	0	1	5
TCGA-GM-A2DO-01	95	78	9	38	0	0	0
TCGA-GM-A3NW-01	19	27	17	32	0	0	0
TCGA-GM-A3XL-01	8	36	10	14	50	14	12
TCGA-GM-A4E0-01	1	0	12	0	0	2	19
TCGA-GM-A5PV-01	9	1	3	5	8	5	16
TCGA-GM-A5PX-01	7	4	12	0	12	7	0
TCGA-HN-A2NL-01	2	9	7	2	19	9	43
TCGA-HN-A2OB-01	3	1	6	0	0	0	9
TCGA-JL-A3YX-01	17	7	15	0	4	5	1
TCGA-LD-A66U-01	2	0	19	0	10	11	2
TCGA-LD-A74U-01	168	96	19	69	0	0	0
TCGA-LD-A7W5-01	10	9	23	4	1	6	12
TCGA-LD-A7W6-01	2	1	12	11	0	5	15
TCGA-LD-A9QF-01	2	2	15	2	0	0	18
TCGA-LL-A440-01	2	0	4	0	0	0	0
TCGA-LL-A50Y-01	3	0	12	0	0	7	21
TCGA-LL-A5YL-01	28	8	20	37	0	0	0
TCGA-LL-A5YM-01	2	3	8	4	2	2	19
TCGA-LL-A5YN-01	1	0	12	14	6	4	6
TCGA-LL-A5YO-01	2	13	3	13	17	9	4
TCGA-LL-A5YP-01	7	7	1	20	40	9	21
TCGA-LL-A6FP-01	15	2	5	26	0	5	22
TCGA-LL-A6FQ-01	4	0	33	21	0	8	3
TCGA-LL-A6FR-01	3	2	16	3	13	9	17
TCGA-LL-A73Y-01	32	90	8	44	0	19	0
TCGA-LL-A73Z-01	3	1	15	0	8	3	18
TCGA-LL-A740-01	7	0	18	12	20	11	0
TCGA-LL-A7SZ-01	9	2	20	14	0	12	18
TCGA-LL-A7T0-01	10	5	33	4	4	8	13
TCGA-LL-A8F5-01	3	14	12	38	68	29	36
TCGA-LL-A9Q3-01	12	0	26	5	16	9	0
TCGA-OK-A5Q2-01	6	1	14	11	0	0	11
TCGA-OL-A5D6-01	6	2	9	6	0	0	34
TCGA-OL-A5D7-01	7	9	17	3	33	8	3
TCGA-OL-A5D8-01	3	2	16	0	13	5	0
TCGA-OL-A5DA-01	30	32	15	36	0	1	0
TCGA-OL-A5RU-01	0	0	20	16	0	2	8
TCGA-OL-A5RV-01	0	0	8	0	2	0	7
TCGA-OL-A5RW-01	35	84	4	26	73	27	4
TCGA-OL-A5RX-01	2	2	17	1	1	7	5
TCGA-OL-A5RY-01	1	2	5	0	2	3	0
TCGA-OL-A5RZ-01	13	9	54	26	44	6	0
TCGA-OL-A5S0-01	5	3	20	0	9	4	3
TCGA-OL-A66H-01	0	0	7	4	12	4	0
TCGA-OL-A66I-01	3	2	11	19	2	2	17
TCGA-OL-A66J-01	9	2	20	2	5	11	19
TCGA-OL-A66K-01	3	1	24	6	9	4	0
TCGA-OL-A66L-01	46	24	12	0	5	7	0
TCGA-OL-A66N-01	3	1	24	2	0	5	23
TCGA-OL-A66O-01	1	2	15	0	7	4	9
TCGA-OL-A66P-01	3	0	12	31	34	21	22
TCGA-OL-A6VO-01	1	1	17	11	6	2	0
TCGA-OL-A6VQ-01	36	19	16	0	4	7	0
TCGA-OL-A6VR-01	1	0	8	0	4	4	0
TCGA-OL-A97C-01	1	1	17	7	18	15	11
TCGA-PE-A5DC-01	13	9	20	15	55	16	26
TCGA-PE-A5DD-01	28	16	20	12	5	2	2
TCGA-PE-A5DE-01	351	190	8	140	0	0	0
TCGA-PL-A8LV-01	12	26	8	54	37	18	0
TCGA-PL-A8LX-01	1	0	17	0	15	12	4
TCGA-PL-A8LY-01	0	0	0	0	0	4	3
TCGA-PL-A8LZ-01	16	0	6	32	43	11	28
TCGA-S3-A6ZF-01	2	6	31	0	10	0	3
TCGA-S3-A6ZG-01	4	0	21	21	0	3	11
TCGA-S3-A6ZH-01	4	0	19	9	10	3	0
TCGA-S3-AA0Z-01	13	9	24	0	21	10	0
TCGA-S3-AA10-01	10	15	8	0	83	13	21
TCGA-S3-AA11-01	3	0	0	36	10	12	35
TCGA-S3-AA12-01	5	3	14	4	3	2	29
TCGA-S3-AA14-01	3	3	15	0	3	0	0
TCGA-S3-AA15-01	14	18	5	22	0	1	0
TCGA-S3-AA17-01	9	14	14	0	44	18	42
TCGA-UL-AAZ6-01	10	15	10	0	32	23	50
TCGA-UU-A93S-01	8	11	26	32	80	21	18
TCGA-V7-A7HQ-01	1	4	8	5	12	1	0
TCGA-W8-A86G-01	2	1	9	0	0	4	19
TCGA-WT-AB41-01	23	1	12	0	5	4	17
TCGA-WT-AB44-01	1	0	26	4	9	6	14
TCGA-XX-A899-01	22	7	6	23	0	2	0
TCGA-XX-A89A-01	52	112	11	90	0	0	0
TCGA-Z7-A8R5-01	0	0	27	0	0	0	7
TCGA-Z7-A8R6-01	42	22	22	8	6	7	0
